Module,category
Energy_Metabolism_Mitochondria,Oxidative phosphorylation - Mus musculus (mouse)
Energy_Metabolism_Mitochondria,Non-alcoholic fatty liver disease - Mus musculus (mouse)
Energy_Metabolism_Mitochondria,tricarboxylic acid cycle
Energy_Metabolism_Mitochondria,positive regulation of cold-induced thermogenesis
Energy_Metabolism_Mitochondria,Citrate cycle (TCA cycle) - Mus musculus (mouse)
Energy_Metabolism_Mitochondria,cellular response to amino acid stimulus
Proteostasis_DNA_Repair_Quality_Control,DNA repair
Proteostasis_DNA_Repair_Quality_Control,DNA damage response
Proteostasis_DNA_Repair_Quality_Control,Nucleotide excision repair - Mus musculus (mouse)
Proteostasis_DNA_Repair_Quality_Control,Chemical carcinogenesis - reactive oxygen species - Mus musculus (mouse)
Proteostasis_DNA_Repair_Quality_Control,nucleotide-excision repair
Proteostasis_DNA_Repair_Quality_Control,proteasome-mediated ubiquitin-dependent protein catabolic process
Proteostasis_DNA_Repair_Quality_Control,protein ubiquitination
Proteostasis_DNA_Repair_Quality_Control,ubiquitin-dependent protein catabolic process
Proteostasis_DNA_Repair_Quality_Control,proteolysis
Proteostasis_DNA_Repair_Quality_Control,protein phosphorylation
Immune_Inflammation_Stress_Response,Human immunodeficiency virus 1 infection - Mus musculus (mouse)
Immune_Inflammation_Stress_Response,Human cytomegalovirus infection - Mus musculus (mouse)
Immune_Inflammation_Stress_Response,Human papillomavirus infection - Mus musculus (mouse)
Immune_Inflammation_Stress_Response,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (mouse)
Neuronal_Synaptic_Plasticity_Programs,Glutamatergic synapse - Mus musculus (mouse)
Neuronal_Synaptic_Plasticity_Programs,GABAergic synapse - Mus musculus (mouse)
Neuronal_Synaptic_Plasticity_Programs,nervous system development
Neuronal_Synaptic_Plasticity_Programs,brain development
Neuronal_Synaptic_Plasticity_Programs,modulation of chemical synaptic transmission
Neuronal_Synaptic_Plasticity_Programs,"synaptic transmission, glutamatergic"
Neuronal_Synaptic_Plasticity_Programs,long-term memory
Neuronal_Synaptic_Plasticity_Programs,chemical synaptic transmission
Neuronal_Synaptic_Plasticity_Programs,neuron projection development
Neuronal_Synaptic_Plasticity_Programs,Circadian entrainment - Mus musculus (mouse)
Neuronal_Synaptic_Plasticity_Programs,axonogenesis
Neuronal_Synaptic_Plasticity_Programs,Dopaminergic synapse - Mus musculus (mouse)
Neuronal_Synaptic_Plasticity_Programs,positive regulation of neurogenesis
Neuronal_Synaptic_Plasticity_Programs,Retrograde endocannabinoid signaling - Mus musculus (mouse)
Neuronal_Synaptic_Plasticity_Programs,neuron development
Neuronal_Synaptic_Plasticity_Programs,axon guidance
Neuronal_Synaptic_Plasticity_Programs,Axon guidance - Mus musculus (mouse)
Neuronal_Synaptic_Plasticity_Programs,Serotonergic synapse - Mus musculus (mouse)
Neuronal_Synaptic_Plasticity_Programs,Cholinergic synapse - Mus musculus (mouse)
Neurodegeneration_Disease_Wrapper,Huntington disease - Mus musculus (mouse)
Neurodegeneration_Disease_Wrapper,Pathways of neurodegeneration - multiple diseases - Mus musculus (mouse)
Neurodegeneration_Disease_Wrapper,Alzheimer disease - Mus musculus (mouse)
Neurodegeneration_Disease_Wrapper,Amyotrophic lateral sclerosis - Mus musculus (mouse)
Neurodegeneration_Disease_Wrapper,Prion disease - Mus musculus (mouse)
Neurodegeneration_Disease_Wrapper,Parkinson disease - Mus musculus (mouse)
Cancer_Wrapper_Pathways,Pathways in cancer - Mus musculus (mouse)
Cancer_Wrapper_Pathways,MicroRNAs in cancer - Mus musculus (mouse)
Cancer_Wrapper_Pathways,Glioma - Mus musculus (mouse)
Cancer_Wrapper_Pathways,Melanoma - Mus musculus (mouse)
Cancer_Wrapper_Pathways,Prostate cancer - Mus musculus (mouse)
Cancer_Wrapper_Pathways,Transcriptional misregulation in cancer - Mus musculus (mouse)
Cancer_Wrapper_Pathways,Hepatocellular carcinoma - Mus musculus (mouse)
Addiction_Substance_Response_Wrapper,Alcoholism - Mus musculus (mouse)
Addiction_Substance_Response_Wrapper,Morphine addiction - Mus musculus (mouse)
Addiction_Substance_Response_Wrapper,Nicotine addiction - Mus musculus (mouse)
Development_Reproduction_Artifact,spermatogenesis
